Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
1,Cooper Kupp (LAR),145,191,"1,947",13.4,59,57,16,4,18,0,0,17,367,21.6,87.30%,3,2021,2017,5,Rams
2,Deebo Samuel (SF),77,121,"1,405",18.2,83,53,6,59,365,8,2,16,300.5,18.8,95.00%,2,2021,2019,3,49ers
3,Davante Adams (LV),123,169,"1,553",12.6,59,37,11,0,0,0,0,16,282.8,17.7,99.90%,2,2021,2014,8,Packers
4,Justin Jefferson (MIN),108,167,"1,616",15,56,45,10,6,14,0,1,17,276.4,16.3,99.90%,1,2021,2020,2,Vikings
5,Ja'Marr Chase (CIN),81,128,"1,455",18,82,49,13,7,21,0,1,17,264.1,15.5,99.80%,1,2021,2021,1,Bengals
6,Tyreek Hill (MIA),111,159,"1,239",11.2,75,24,9,9,96,0,1,17,241,14.2,99.90%,5,2021,2016,6,Chiefs
7,Stefon Diggs (BUF),103,164,"1,225",11.9,61,24,10,0,0,0,0,17,234,13.8,99.90%,5,2021,2015,7,Vikings
8,Mike Evans (TB),74,114,"1,035",14,46,30,14,1,10,0,0,16,225.5,14.1,94.70%,1,2021,2014,8,Buccaneers
9,Diontae Johnson (PIT),107,169,"1,161",10.9,50,27,8,5,53,0,2,16,220.9,13.8,87.00%,3,2021,2019,3,Steelers
10,Mike Williams (LAC),76,129,"1,146",15.1,72,37,9,0,0,0,0,16,208.6,13,93.40%,1,2021,2017,5,Chargers
11,Hunter Renfrow (LV),103,128,"1,038",10.1,54,14,9,3,3,0,1,17,207.6,12.2,30.20%,5,2021,2019,3,Raiders
12,DK Metcalf (SEA),75,129,967,12.9,84,19,12,1,6,0,0,17,206.8,12.2,98.70%,2,2021,2019,3,Seahawks
13,Tyler Lockett (SEA),73,107,"1,175",16.1,69,43,8,2,9,0,0,16,204.9,12.8,91.80%,3,2021,2015,7,Seahawks
14,Keenan Allen (LAC),106,157,"1,138",10.7,42,19,6,0,0,0,0,16,204.8,12.8,98.50%,3,2021,2013,9,Chargers
15,Michael Pittman Jr. (IND),88,129,"1,082",12.3,57,20,6,5,44,0,0,17,194.6,11.4,95.60%,2,2021,2020,2,Colts
16,Jaylen Waddle (MIA),104,140,"1,015",9.8,57,15,6,2,3,1,1,16,193.8,12.1,99.20%,1,2021,2021,1,Dolphins
17,Chris Godwin (TB),98,127,"1,103",11.3,44,19,5,4,21,1,2,14,193.4,13.8,93.80%,3,2021,2017,5,Buccaneers
18,CeeDee Lamb (DAL),79,120,"1,102",13.9,49,31,6,9,76,0,0,16,193.3,12.1,99.80%,1,2021,2020,2,Cowboys
19,DJ Moore (CHI),93,163,"1,157",12.4,64,20,4,8,48,0,1,17,191,11.2,91.70%,1,2021,2018,4,Panthers
20,Brandin Cooks (DAL),90,134,"1,037",11.5,52,24,6,2,21,0,0,16,186.8,11.7,72.00%,1,2021,2014,8,Saints
21,Amon-Ra St. Brown (DET),90,119,912,10.1,37,15,5,7,61,1,0,16,182.3,11.4,99.20%,4,2021,2021,1,Lions
22,Tee Higgins (CIN),74,110,"1,091",14.7,54,25,6,0,0,0,1,14,182.1,13,99.00%,2,2021,2020,2,Bengals
23,Marquise Brown (ARI),91,146,"1,008",11.1,49,24,6,1,5,0,1,16,180.8,11.3,83.20%,1,2021,2019,3,Ravens
24,Darnell Mooney (CHI),81,140,"1,055",13,64,26,4,6,32,1,0,17,179.2,10.5,31.70%,5,2021,2020,2,Bears
