Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
1,Jordy Nelson (FA),97,152,"1,257",13,60,19,14,0,0,0,1,16,256.2,16,0.10%,2,2016,2008,9,Packers
2,Mike Evans (TB),96,173,"1,321",13.8,45,15,12,0,0,0,0,16,256.1,16,94.70%,1,2016,2014,3,Buccaneers
3,Antonio Brown (FA),106,154,"1,284",12.1,51,22,12,3,9,0,0,15,254.3,17,0.30%,6,2016,2010,7,Steelers
4,Odell Beckham Jr. (BAL),101,169,"1,367",13.5,75,20,10,1,9,0,1,16,246.1,15.4,44.50%,1,2016,2014,3,Giants
5,T.Y. Hilton (FA),91,155,"1,448",15.9,63,28,6,0,0,0,0,16,228.3,14.3,1.60%,3,2016,2012,5,Colts
6,Julio Jones (FA),83,129,"1,409",17,75,27,6,0,0,0,0,14,218.4,15.6,7.40%,1,2016,2011,6,Falcons
7,Michael Thomas (NO),92,121,"1,137",12.4,46,18,9,0,0,0,2,15,209.7,14,52.70%,2,2016,2016,1,Saints
8,Davante Adams (LV),75,121,997,13.3,66,17,12,0,0,0,1,16,209.2,13.1,99.90%,2,2016,2014,3,Packers
9,Brandin Cooks (DAL),78,117,"1,173",15,98,15,8,6,30,0,0,16,207.3,13,72.00%,1,2016,2014,3,Saints
10,Doug Baldwin (FA),94,125,"1,128",12,59,16,7,3,2,0,0,16,206.6,12.9,0.00%,8,2016,2011,6,Seahawks
11,Michael Crabtree (FA),89,145,"1,003",11.3,56,10,8,0,0,0,0,16,194.8,12.2,0.00%,1,2016,2009,8,49ers
12,Amari Cooper (CLE),83,132,"1,153",13.9,64,21,5,1,0,0,0,16,190.8,11.9,95.20%,1,2016,2015,2,Raiders
13,Larry Fitzgerald (FA),107,150,"1,023",9.6,32,8,6,2,5,0,1,16,190.3,11.9,0.20%,1,2016,2004,13,Cardinals
14,Jarvis Landry (FA),94,131,"1,136",12.1,71,16,4,5,17,0,2,16,184.3,11.5,7.30%,2,2016,2014,3,Dolphins
15,Tyrell Williams (FA),69,119,"1,059",15.3,51,19,7,0,0,0,0,16,182.4,11.4,0.00%,8,2016,2015,2,Chargers
16,Demaryius Thomas (FA),90,144,"1,083",12,55,10,5,0,0,0,2,16,181.3,11.3,0.10%,1,2016,2010,7,Broncos
17,Julian Edelman (FA),98,159,"1,106",11.3,77,11,3,12,57,0,2,16,181.3,11.3,12.10%,7,2016,2009,8,Patriots
18,Rishard Matthews (FA),65,108,945,14.5,60,16,9,0,0,0,1,16,179,11.2,0.00%,7,2016,2012,5,Dolphins
19,Golden Tate (FA),91,135,"1,077",11.8,67,13,4,10,4,0,1,16,177.6,11.1,0.00%,2,2016,2010,7,Seahawks
20,Terrelle Pryor Sr. (FA),77,140,"1,007",13.1,54,11,4,8,21,1,0,16,174.9,10.9,0.00%,3,2016,2011,6,Raiders
21,Emmanuel Sanders (FA),79,137,"1,032",13.1,64,12,5,1,4,0,0,16,173.1,10.8,0.00%,3,2016,2010,7,Steelers
22,Tyreek Hill (MIA),61,83,593,9.7,49,8,6,24,267,3,1,16,168.5,10.5,99.90%,5,2016,2016,1,Chiefs
23,Mike Wallace (FA),72,116,"1,017",14.1,95,10,4,5,31,0,0,16,166.8,10.4,0.00%,3,2016,2009,8,Steelers
24,Kelvin Benjamin (FA),63,118,941,14.9,50,10,7,0,0,0,1,16,165.6,10.4,0.10%,1,2016,2014,3,Panthers
