Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
1,Davante Adams (LV),115,149,"1,374",11.9,56,34,18,0,0,0,1,14,300.9,21.5,99.90%,2,2020,2014,7,Packers
2,Tyreek Hill (MIA),87,135,"1,276",14.7,75,38,15,13,123,2,0,15,285.4,19,99.90%,5,2020,2016,5,Chiefs
3,Stefon Diggs (BUF),127,166,"1,535",12.1,55,32,8,1,1,0,0,16,265.1,16.6,99.90%,5,2020,2015,6,Vikings
4,Calvin Ridley (JAC),90,143,"1,374",15.3,63,36,9,5,1,0,1,15,236.5,15.8,45.50%,1,2020,2018,3,Falcons
5,DeAndre Hopkins (ARI),115,160,"1,407",12.2,60,35,6,1,1,0,2,16,230.3,14.4,95.80%,1,2020,2013,8,Texans
6,Justin Jefferson (MIN),88,125,"1,400",15.9,71,39,7,1,2,0,0,16,230.2,14.4,99.90%,1,2020,2020,1,Vikings
7,DK Metcalf (SEA),83,129,"1,303",15.7,62,37,10,0,0,0,1,16,229.8,14.4,98.70%,2,2020,2019,2,Seahawks
8,Adam Thielen (CAR),74,108,925,12.5,51,18,14,3,15,0,0,15,217,14.5,85.00%,8,2020,2013,8,Vikings
9,Tyler Lockett (SEA),100,132,"1,054",10.5,47,17,10,0,0,0,0,16,215.4,13.5,91.80%,3,2020,2015,6,Seahawks
10,Mike Evans (TB),70,109,"1,006",14.4,50,29,13,0,0,0,0,16,213.6,13.4,94.70%,1,2020,2014,7,Buccaneers
11,A.J. Brown (PHI),70,106,"1,075",15.4,73,28,11,0,0,0,1,14,212.5,15.2,99.80%,2,2020,2019,2,Titans
12,Allen Robinson II (PIT),102,151,"1,250",12.3,42,27,6,1,-1,0,0,16,211.9,13.2,19.70%,2,2020,2014,7,Jaguars
13,Robert Woods (HOU),90,129,936,10.4,56,19,6,24,155,2,1,16,200.1,12.5,26.70%,2,2020,2013,8,Bills
14,Keenan Allen (LAC),100,147,992,9.9,28,10,8,1,-1,0,2,14,195.1,13.9,98.50%,3,2020,2013,8,Chargers
15,Brandin Cooks (DAL),81,119,"1,150",14.2,57,32,6,0,0,0,0,15,191.5,12.8,72.00%,1,2020,2014,7,Saints
16,Amari Cooper (CLE),92,130,"1,114",12.1,69,26,5,6,14,0,0,16,190.8,11.9,95.20%,1,2020,2015,6,Raiders
17,Marvin Jones Jr. (DET),76,115,978,12.9,43,23,9,0,0,0,0,16,189.8,11.9,4.90%,5,2020,2012,9,Bengals
18,JuJu Smith-Schuster (NE),97,128,831,8.6,31,14,9,0,0,0,1,16,185.6,11.6,89.60%,2,2020,2017,4,Steelers
19,Chase Claypool (CHI),62,109,873,14.1,84,26,9,10,16,2,1,16,183.9,11.5,37.30%,2,2020,2020,1,Steelers
20,CeeDee Lamb (DAL),74,111,935,12.6,52,29,5,10,82,1,1,16,180.7,11.3,99.80%,1,2020,2020,1,Cowboys
21,Terry McLaurin (WAS),87,134,"1,118",12.9,68,28,4,2,30,0,1,15,180.3,12,96.80%,3,2020,2019,2,Commanders
22,DJ Moore (CHI),66,118,"1,193",18.1,74,39,4,2,22,0,0,15,178.5,11.9,91.70%,1,2020,2018,3,Panthers
23,Diontae Johnson (PIT),88,144,923,10.5,47,19,7,3,15,0,1,15,177.8,11.9,87.00%,3,2020,2019,2,Steelers
24,Chosen Anderson (MIA),95,136,"1,096",11.5,75,25,3,4,15,0,1,16,176.6,11,1.70%,8,2020,2016,5,Jets
