Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
1,Justin Jefferson (MIN),128,184,"1,809",14.1,64,49,8,4,24,1,0,17,304.6,17.9,99.90%,1,2022,2020,3,Vikings
2,Davante Adams (LV),100,180,"1,516",15.2,60,47,14,3,-1,0,0,17,285.5,16.8,99.90%,2,2022,2014,9,Packers
3,Tyreek Hill (MIA),119,170,"1,710",14.4,64,45,7,7,32,1,0,17,281.7,16.6,99.90%,5,2022,2016,7,Chiefs
4,Stefon Diggs (BUF),110,156,"1,455",13.2,53,35,11,1,-3,0,0,17,266.2,15.7,99.90%,5,2022,2015,8,Vikings
5,A.J. Brown (PHI),88,145,"1,496",17,78,45,11,0,0,0,2,17,255.6,15,99.80%,2,2022,2019,4,Titans
6,CeeDee Lamb (DAL),107,156,"1,359",12.7,39,30,9,10,47,0,0,17,248.1,14.6,99.80%,1,2022,2020,3,Cowboys
7,Jaylen Waddle (MIA),75,117,"1,356",18.1,84,41,8,3,26,0,1,17,221.7,13,99.20%,1,2022,2021,2,Dolphins
8,Amon-Ra St. Brown (DET),106,146,"1,161",11,49,15,6,9,95,0,0,16,214.6,13.4,99.20%,4,2022,2021,2,Lions
9,Amari Cooper (CLE),78,132,"1,160",14.9,55,31,9,0,0,0,0,17,208,12.2,95.20%,1,2022,2015,8,Raiders
10,DeVonta Smith (PHI),95,136,"1,196",12.6,45,30,7,0,0,0,1,17,207.1,12.2,97.10%,1,2022,2021,2,Eagles
11,Christian Kirk (JAC),84,133,"1,108",13.2,49,27,8,5,11,0,1,17,199.9,11.8,90.80%,2,2022,2018,5,Cardinal
12,Ja'Marr Chase (CIN),87,134,"1,046",12,60,22,9,5,8,0,2,13,198.9,15.3,99.80%,1,2022,2021,2,Bengals
13,Tyler Lockett (SEA),84,117,"1,033",12.3,40,23,9,0,0,0,2,16,195.3,12.2,91.80%,3,2022,2015,8,Seahawks
14,Terry McLaurin (WAS),77,120,"1,191",15.5,52,34,5,7,29,0,0,17,190.5,11.2,96.80%,3,2022,2019,4,Commanders
15,Brandon Aiyuk (SF),78,114,"1,015",13,54,23,8,2,23,0,1,17,188.8,11.1,90.40%,1,2022,2020,3,49ers
16,Mike Evans (TB),77,127,"1,124",14.6,63,34,6,0,0,0,0,15,186.9,12.5,94.70%,1,2022,2014,9,Buccaneers
17,Tee Higgins (CIN),75,110,"1,042",13.9,59,24,7,0,0,0,0,15,185.7,12.4,99.00%,2,2022,2020,3,Bengals
18,DK Metcalf (SEA),90,141,"1,048",11.6,54,20,6,0,0,0,2,17,181.8,10.7,98.70%,2,2022,2019,4,Seahawks
19,Garrett Wilson (NYJ),83,147,"1,103",13.3,60,27,4,4,4,0,1,17,174.2,10.2,94.30%,1,2022,2022,1,Jets
20,Chris Godwin (TB),104,142,"1,023",9.8,44,13,3,3,5,0,2,15,170.8,11.4,93.80%,3,2022,2017,6,Buccaneers
21,Jerry Jeudy (DEN),67,100,972,14.5,67,31,6,4,40,0,0,15,170.7,11.4,90.40%,1,2022,2020,3,Broncos
22,DJ Moore (CHI),63,118,888,14.1,62,27,7,10,53,0,0,17,167.6,9.9,91.70%,1,2022,2018,5,Panthers
23,Michael Pittman Jr. (IND),99,141,925,9.3,28,8,4,3,30,0,1,16,167,10.4,95.60%,2,2022,2020,3,Colts
24,Cooper Kupp (LAR),75,98,812,10.8,75,18,6,9,52,1,1,9,163.9,18.2,87.30%,3,2022,2017,6,Rams
