Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,DRAFTED,YEAR,YRDrafted,YearInLeague,DraftedTeam
9,Diontae Johnson (PIT),107,169,1161,10.9,50,27,8,5,53,0,2,16,220.9,13.8,87.00%,3,2021,2019,3,Steelers
10,Mike Williams (LAC),76,129,1146,15.1,72,37,9,0,0,0,0,16,208.6,13.0,93.40%,1,2021,2017,5,Chargers
11,Hunter Renfrow (LV),103,128,1038,10.1,54,14,9,3,3,0,1,17,207.6,12.2,30.20%,5,2021,2019,3,Raiders
12,DK Metcalf (SEA),75,129,967,12.9,84,19,12,1,6,0,0,17,206.8,12.2,98.70%,2,2021,2019,3,Seahawks
1,Justin Jefferson (MIN),128,184,1809,14.1,64,49,8,4,24,1,0,17,304.6,17.9,99.90%,1,2022,2020,3,Vikings
2,Davante Adams (LV),100,180,1516,15.2,60,47,14,3,-1,0,0,17,285.5,16.8,99.90%,2,2022,2014,9,Packers
3,Tyreek Hill (MIA),119,170,1710,14.4,64,45,7,7,32,1,0,17,281.7,16.6,99.90%,5,2022,2016,7,Chiefs
4,Stefon Diggs (BUF),110,156,1455,13.2,53,35,11,1,-3,0,0,17,266.2,15.7,99.90%,5,2022,2015,8,Vikings
5,A.J. Brown (PHI),88,145,1496,17.0,78,45,11,0,0,0,2,17,255.6,15.0,99.80%,2,2022,2019,4,Titans
6,CeeDee Lamb (DAL),107,156,1359,12.7,39,30,9,10,47,0,0,17,248.1,14.6,99.80%,1,2022,2020,3,Cowboys
7,Jaylen Waddle (MIA),75,117,1356,18.1,84,41,8,3,26,0,1,17,221.7,13.0,99.20%,1,2022,2021,2,Dolphins
8,Amon-Ra St. Brown (DET),106,146,1161,11.0,49,15,6,9,95,0,0,16,214.6,13.4,99.20%,4,2022,2021,2,Lions
9,Amari Cooper (CLE),78,132,1160,14.9,55,31,9,0,0,0,0,17,208.0,12.2,95.20%,1,2022,2015,8,Raiders
10,DeVonta Smith (PHI),95,136,1196,12.6,45,30,7,0,0,0,1,17,207.1,12.2,97.10%,1,2022,2021,2,Eagles
11,Christian Kirk (JAC),84,133,1108,13.2,49,27,8,5,11,0,1,17,199.9,11.8,90.80%,2,2022,2018,5,Cardinals
12,Ja'Marr Chase (CIN),87,134,1046,12.0,60,22,9,5,8,0,2,13,198.9,15.3,99.80%,1,2022,2021,2,Bengals
